packet_counter,decrypt_time_ns,decrypt_time_us
972,52691,52.691
973,82242,82.242
974,64327,64.327
975,49215,49.215
976,52640,52.64
977,42706,42.706
978,50695,50.695
979,49862,49.862
980,41622,41.622
981,46832,46.832
982,71214,71.214
983,85584,85.584
984,167473,167.473
985,55045,55.045
986,53552,53.552
987,55150,55.15
988,65453,65.453
989,55885,55.885
990,151468,151.468
991,49031,49.031
992,201618,201.618
993,51682,51.682
994,182857,182.857
995,42100,42.1
996,48588,48.588
997,54776,54.776
998,46716,46.716
999,47206,47.206
1000,48432,48.432
1001,136063,136.063
1002,90536,90.536
1003,68898,68.898
1004,67981,67.981
1005,73614,73.614
1006,89833,89.833
1007,74280,74.28
1008,71669,71.669
1009,73348,73.348
1010,91193,91.193
1011,235280,235.28
1012,94516,94.516
1013,81203,81.203
1014,185625,185.625
1015,70864,70.864
1016,98125,98.125
1017,69636,69.636
1018,69629,69.629
1019,72926,72.926
1020,82530,82.53
1021,75422,75.422
1022,85844,85.844
1023,67065,67.065
1024,68222,68.222
1025,71943,71.943
1026,88780,88.78
1027,80648,80.648
1028,70771,70.771
1029,60081,60.081
1030,72464,72.464
1031,63252,63.252
1032,89100,89.1
1033,70705,70.705
1034,68103,68.103
1035,72936,72.936
1036,53259,53.259
1037,61205,61.205
1038,61078,61.078
1039,57126,57.126
1040,268538,268.538
1041,49740,49.74
1042,64256,64.256
1043,57115,57.115
1044,55816,55.816
1045,59056,59.056
1046,108487,108.487
1047,78815,78.815
1048,65960,65.96
1049,58758,58.758
1050,65713,65.713
1051,57366,57.366
1052,66507,66.507
1053,55648,55.648
1054,63674,63.674
1055,63476,63.476
1056,63759,63.759
1057,62744,62.744
1058,65744,65.744
1059,54224,54.224
1060,81203,81.203
1061,83043,83.043
1062,57497,57.497
1063,62649,62.649
1064,105125,105.125
1065,63861,63.861
1066,93132,93.132
1067,63207,63.207
1068,65723,65.723
1069,54225,54.225
1070,64477,64.477
1071,50473,50.473
1072,60770,60.77
1073,81456,81.456
1074,57692,57.692
1075,86505,86.505
1076,77288,77.288
1077,62935,62.935
1078,75792,75.792
1079,65205,65.205
1080,82890,82.89
1081,78251,78.251
1082,82714,82.714
1083,77500,77.5
1084,227905,227.905
1085,62832,62.832
1086,68458,68.458
1087,71815,71.815
1088,61325,61.325
1089,55823,55.823
1090,64265,64.265
1091,62010,62.01
1092,82066,82.066
1093,61349,61.349
1094,83920,83.92
1095,63735,63.735
1096,81489,81.489
1097,66849,66.849
1098,70204,70.204
1099,61592,61.592
1100,75815,75.815
1101,63068,63.068
1102,72852,72.852
1103,58138,58.138
1104,77688,77.688
1105,75029,75.029
1106,78379,78.379
1107,73130,73.13
1108,64487,64.487
1109,62533,62.533
1110,274551,274.551
1111,101585,101.585
1112,81794,81.794
1113,63144,63.144
1114,65198,65.198
1115,66786,66.786
1116,73592,73.592
1117,126574,126.574
1118,75873,75.873
1119,65594,65.594
1120,73829,73.829
1121,54627,54.627
1122,92175,92.175
1123,78020,78.02
1124,67411,67.411
1125,99083,99.083
1126,368659,368.659
1127,101320,101.32
1128,69897,69.897
1129,64521,64.521
1130,125068,125.068
1131,58927,58.927
1132,90465,90.465
1133,78894,78.894
1134,75474,75.474
1135,90640,90.64
1136,102178,102.178
1137,63280,63.28
1138,58158,58.158
1139,59278,59.278
1140,61503,61.503
1141,58409,58.409
1142,61907,61.907
1143,55825,55.825
1144,73677,73.677
1145,63193,63.193
1146,54863,54.863
1147,77582,77.582
1148,67860,67.86
1149,62014,62.014
1150,239783,239.783
1151,61067,61.067
1152,65477,65.477
1153,58104,58.104
1154,56923,56.923
1155,64786,64.786
1156,65209,65.209
1157,63971,63.971
1158,114870,114.87
1159,60618,60.618
1160,77165,77.165
1161,117087,117.087
1162,218307,218.307
1163,64524,64.524
1164,67235,67.235
1165,65935,65.935
1166,116139,116.139
1167,61414,61.414
1168,58845,58.845
1169,59117,59.117
1170,60611,60.611
1171,59243,59.243
1172,70805,70.805
1173,59139,59.139
1174,214363,214.363
1175,62221,62.221
1176,48505,48.505
1177,67848,67.848
1178,62061,62.061
1179,53042,53.042
1180,225370,225.37
1181,48850,48.85
1182,58396,58.396
1183,59274,59.274
1184,109138,109.138
1185,75682,75.682
1186,70571,70.571
1187,76404,76.404
1188,71697,71.697
1189,61917,61.917
1190,69934,69.934
1191,56559,56.559
1192,67709,67.709
1193,65071,65.071
1194,78478,78.478
1195,61542,61.542
1196,49266,49.266
1197,71759,71.759
1198,72120,72.12
1199,59226,59.226
1200,72012,72.012
1201,64859,64.859
1202,69755,69.755
1203,60329,60.329
1204,57777,57.777
1205,83071,83.071
1206,155848,155.848
1207,69513,69.513
1208,86664,86.664
1209,67894,67.894
1210,243026,243.026
1211,106029,106.029
1212,71524,71.524
1213,63404,63.404
1214,57148,57.148
1215,76055,76.055
1216,55754,55.754
1217,77177,77.177
1218,63927,63.927
1219,59978,59.978
1220,76031,76.031
1221,57343,57.343
1222,86057,86.057
1223,66088,66.088
1224,79814,79.814
1225,76756,76.756
1226,141077,141.077
1227,94733,94.733
1228,90315,90.315
1229,66522,66.522
1230,75687,75.687
1231,121890,121.89
1232,87139,87.139
1233,69931,69.931
1234,79519,79.519
1235,87505,87.505
1236,79811,79.811
1237,57381,57.381
1238,59601,59.601
1239,51569,51.569
1240,60603,60.603
1241,56498,56.498
1242,58698,58.698
1243,55418,55.418
1244,56529,56.529
1245,99921,99.921
1246,63136,63.136
1247,80018,80.018
1248,73046,73.046
1249,60496,60.496
1250,71030,71.03
1251,67533,67.533
1252,68093,68.093
1253,62317,62.317
1254,56747,56.747
1255,64185,64.185
1256,60031,60.031
1257,66663,66.663
1258,70890,70.89
1259,71545,71.545
1260,88496,88.496
1261,68741,68.741
1262,72292,72.292
1263,69599,69.599
1264,76100,76.1
1265,67940,67.94
1266,63052,63.052
1267,65699,65.699
1268,66358,66.358
1269,52305,52.305
1270,111926,111.926
1271,53505,53.505
1272,82366,82.366
1273,61128,61.128
1274,56909,56.909
1275,59239,59.239
1276,52476,52.476
1277,63976,63.976
1278,61867,61.867
1279,55454,55.454
1280,64762,64.762
1281,53598,53.598
1282,80283,80.283
1283,85110,85.11
1284,62074,62.074
1285,116440,116.44
1286,73485,73.485
1287,72891,72.891
1288,67055,67.055
1289,73767,73.767
1290,69361,69.361
1291,62073,62.073
1292,72913,72.913
1293,74043,74.043
1294,64237,64.237
1295,64838,64.838
1296,59831,59.831
1297,82938,82.938
1298,66213,66.213
1299,66515,66.515
1300,84366,84.366
1301,64210,64.21
1302,65709,65.709
1303,60631,60.631
1304,218077,218.077
1305,75568,75.568
1306,64366,64.366
1307,72842,72.842
1308,69476,69.476
1309,75385,75.385
1310,76820,76.82
1311,82920,82.92
1312,86303,86.303
1313,71133,71.133
1314,219379,219.379
1315,70930,70.93
1316,64748,64.748
1317,80649,80.649
1318,69440,69.44
1319,53589,53.589
1320,70203,70.203
1321,77733,77.733
1322,83829,83.829
1323,68243,68.243
1324,71378,71.378
1325,71723,71.723
1326,75229,75.229
1327,86696,86.696
1328,77751,77.751
1329,64107,64.107
1330,79665,79.665
1331,71960,71.96
1332,84927,84.927
1333,80254,80.254
1334,68590,68.59
1335,92574,92.574
1336,104876,104.876
1337,76040,76.04
1338,73414,73.414
1339,57778,57.778
1340,67362,67.362
1341,59776,59.776
1342,63443,63.443
1343,60847,60.847
1344,53403,53.403
1345,58957,58.957
1346,61650,61.65
1347,78635,78.635
1348,70731,70.731
1349,68563,68.563
1350,68200,68.2
1351,67333,67.333
1352,68713,68.713
1353,68961,68.961
1354,114269,114.269
1355,59805,59.805
1356,56381,56.381
1357,62082,62.082
1358,56226,56.226
1359,92801,92.801
1360,80999,80.999
1361,56394,56.394
1362,244844,244.844
1363,60617,60.617
1364,71639,71.639
1365,64256,64.256
1366,58293,58.293
1367,65803,65.803
1368,61834,61.834
1369,86549,86.549
1370,59556,59.556
1371,52362,52.362
1372,66666,66.666
1373,60900,60.9
1374,60379,60.379
1375,59814,59.814
1376,63250,63.25
1377,66695,66.695
1378,59768,59.768
1379,62001,62.001
1380,59398,59.398
1381,60299,60.299
1382,235704,235.704
1383,67869,67.869
1384,64923,64.923
1385,62124,62.124
1386,61296,61.296
1387,75267,75.267
1388,82895,82.895
1389,49871,49.871
1390,52133,52.133
1391,54254,54.254
1392,108723,108.723
1393,50364,50.364
1394,50476,50.476
1395,49308,49.308
1396,39730,39.73
1397,54690,54.69
1398,50563,50.563
1399,49722,49.722
1400,52383,52.383
1401,53716,53.716
1402,60099,60.099
1403,53893,53.893
1404,47466,47.466
1405,64425,64.425
1406,51984,51.984
1407,61952,61.952
1408,60752,60.752
1409,59024,59.024
1410,71012,71.012
1411,78587,78.587
1412,75020,75.02
1413,51296,51.296
1414,45885,45.885
1415,55076,55.076
1416,48844,48.844
1417,70594,70.594
1418,63733,63.733
1419,54588,54.588
1420,68356,68.356
1421,60088,60.088
1422,81984,81.984
1423,52217,52.217
1424,45944,45.944
1425,49742,49.742
1426,43372,43.372
1427,65249,65.249
1428,66617,66.617
1429,73375,73.375
1430,67547,67.547
1431,47790,47.79
1432,68027,68.027
1433,64336,64.336
1434,47549,47.549
1435,59083,59.083
1436,51109,51.109
1437,71015,71.015
1438,72506,72.506
1439,51858,51.858
