packet_counter,encrypt_time_ns,encrypt_time_us
1059,87796,87.796
1060,104619,104.619
1061,85837,85.837
1062,133186,133.186
1063,114274,114.274
1064,80215,80.215
1065,122694,122.694
1066,91355,91.355
1067,92936,92.936
1068,83177,83.177
1069,87732,87.732
1070,119341,119.341
1071,201291,201.291
1072,98310,98.31
1073,188653,188.653
1074,88373,88.373
1075,109153,109.153
1076,100416,100.416
1077,115391,115.391
1078,255794,255.794
1079,103132,103.132
1080,87452,87.452
1081,128390,128.39
1082,109918,109.918
1083,127430,127.43
1084,75857,75.857
1085,196261,196.261
1086,85299,85.299
1087,151192,151.192
1088,139424,139.424
1089,84124,84.124
1090,223348,223.348
1091,88441,88.441
1092,102515,102.515
1093,141498,141.498
1094,136680,136.68
1095,143689,143.689
1096,254062,254.062
1097,160583,160.583
1098,100689,100.689
1099,87822,87.822
1100,94937,94.937
1101,226073,226.073
1102,123921,123.921
1103,118870,118.87
1104,96698,96.698
1105,65961,65.961
1106,66949,66.949
1107,76142,76.142
1108,98584,98.584
1109,88325,88.325
1110,81737,81.737
1111,77923,77.923
1112,98430,98.43
1113,70545,70.545
1114,70583,70.583
1115,270347,270.347
1116,90986,90.986
1117,123101,123.101
1118,99032,99.032
1119,75242,75.242
1120,108449,108.449
1121,97625,97.625
1122,119332,119.332
1123,71552,71.552
1124,76674,76.674
1125,76624,76.624
1126,98603,98.603
1127,98104,98.104
1128,199807,199.807
1129,84352,84.352
1130,82397,82.397
1131,190442,190.442
1132,102045,102.045
1133,95597,95.597
1134,75597,75.597
1135,189215,189.215
1136,136775,136.775
1137,98395,98.395
1138,87354,87.354
1139,82024,82.024
1140,77378,77.378
1141,86646,86.646
1142,97006,97.006
1143,100692,100.692
1144,64328,64.328
1145,234228,234.228
1146,71199,71.199
1147,154952,154.952
1148,107110,107.11
1149,68555,68.555
1150,123464,123.464
1151,84120,84.12
1152,101818,101.818
1153,97390,97.39
1154,96171,96.171
1155,102518,102.518
1156,103208,103.208
1157,276073,276.073
1158,102774,102.774
1159,99091,99.091
1160,115376,115.376
1161,83346,83.346
1162,110320,110.32
1163,95671,95.671
1164,67162,67.162
1165,100882,100.882
1166,93452,93.452
1167,95277,95.277
1168,737672,737.672
1169,93504,93.504
1170,92579,92.579
1171,87069,87.069
1172,153438,153.438
1173,186033,186.033
1174,125980,125.98
1175,115232,115.232
1176,126421,126.421
1177,117101,117.101
1178,93781,93.781
1179,100281,100.281
1180,301090,301.09
1181,86010,86.01
1182,120027,120.027
1183,122524,122.524
1184,108033,108.033
1185,171213,171.213
1186,89500,89.5
1187,158330,158.33
1188,71588,71.588
1189,71552,71.552
1190,93376,93.376
1191,87848,87.848
1192,120216,120.216
1193,127522,127.522
1194,116323,116.323
1195,153258,153.258
1196,346700,346.7
1197,182626,182.626
1198,132903,132.903
1199,88848,88.848
1200,142110,142.11
1201,93902,93.902
1202,91162,91.162
1203,130356,130.356
1204,617568,617.568
1205,112344,112.344
1206,81564,81.564
1207,93558,93.558
1208,75229,75.229
1209,75189,75.189
1210,73558,73.558
1211,80054,80.054
1212,93333,93.333
1213,95015,95.015
1214,69080,69.08
1215,100990,100.99
1216,64525,64.525
1217,75842,75.842
1218,243479,243.479
1219,93754,93.754
1220,59185,59.185
1221,58576,58.576
1222,125330,125.33
1223,127616,127.616
1224,99507,99.507
1225,87497,87.497
1226,122947,122.947
1227,88236,88.236
1228,87615,87.615
1229,107244,107.244
1230,90238,90.238
1231,73182,73.182
1232,88874,88.874
1233,120307,120.307
1234,126387,126.387
1235,95192,95.192
1236,80943,80.943
1237,199868,199.868
1238,69188,69.188
