packet_counter,encrypt_time_ns,encrypt_time_us
1092,99225,99.225
1093,93422,93.422
1094,134961,134.961
1095,109180,109.18
1096,97792,97.792
1097,97800,97.8
1098,120385,120.385
1099,85047,85.047
1100,89391,89.391
1101,80481,80.481
1102,93924,93.924
1103,103541,103.541
1104,379673,379.673
1105,116593,116.593
1106,90314,90.314
1107,110731,110.731
1108,81954,81.954
1109,85501,85.501
1110,124669,124.669
1111,367026,367.026
1112,115224,115.224
1113,106814,106.814
1114,121582,121.582
1115,116485,116.485
1116,104582,104.582
1117,183931,183.931
1118,99458,99.458
1119,90304,90.304
1120,113775,113.775
1121,122230,122.23
1122,156687,156.687
1123,129879,129.879
1124,147650,147.65
1125,118611,118.611
1126,120987,120.987
1127,225588,225.588
1128,241940,241.94
1129,153589,153.589
1130,141964,141.964
1131,202043,202.043
1132,123299,123.299
1133,115907,115.907
1134,111677,111.677
1135,110420,110.42
1136,132244,132.244
1137,117374,117.374
1138,119651,119.651
1139,123638,123.638
1140,125517,125.517
1141,116048,116.048
1142,118980,118.98
1143,144681,144.681
1144,119507,119.507
1145,127629,127.629
1146,112031,112.031
1147,125857,125.857
1148,151145,151.145
1149,114706,114.706
1150,164457,164.457
1151,108902,108.902
1152,208342,208.342
1153,122010,122.01
1154,121648,121.648
1155,104937,104.937
1156,109383,109.383
1157,133299,133.299
1158,155723,155.723
1159,127362,127.362
1160,105101,105.101
1161,97229,97.229
1162,118175,118.175
1163,76815,76.815
1164,80882,80.882
1165,139935,139.935
1166,96365,96.365
1167,120542,120.542
1168,75041,75.041
1169,100419,100.419
1170,82701,82.701
1171,65621,65.621
1172,100567,100.567
1173,83262,83.262
1174,78867,78.867
1175,84411,84.411
1176,102239,102.239
1177,84042,84.042
1178,112838,112.838
1179,108946,108.946
1180,79425,79.425
1181,86830,86.83
1182,108438,108.438
1183,91082,91.082
1184,88619,88.619
1185,87231,87.231
1186,91319,91.319
1187,109115,109.115
1188,83791,83.791
1189,64152,64.152
1190,116046,116.046
1191,58534,58.534
1192,65195,65.195
1193,71411,71.411
1194,81138,81.138
1195,73611,73.611
1196,80252,80.252
1197,74964,74.964
1198,80255,80.255
1199,162665,162.665
1200,136483,136.483
1201,165149,165.149
1202,164912,164.912
1203,167923,167.923
1204,135705,135.705
1205,124791,124.791
1206,205907,205.907
1207,123370,123.37
1208,175146,175.146
1209,112936,112.936
1210,253893,253.893
1211,218416,218.416
1212,124782,124.782
1213,144044,144.044
1214,130250,130.25
1215,113070,113.07
1216,192685,192.685
1217,112507,112.507
1218,156989,156.989
1219,119727,119.727
1220,117538,117.538
1221,121741,121.741
1222,87076,87.076
1223,198454,198.454
1224,64469,64.469
1225,93807,93.807
1226,108880,108.88
1227,125081,125.081
1228,116543,116.543
1229,91556,91.556
1230,116544,116.544
1231,107758,107.758
1232,141542,141.542
1233,222383,222.383
1234,105668,105.668
1235,104949,104.949
1236,102605,102.605
1237,122335,122.335
1238,142108,142.108
1239,101379,101.379
1240,129734,129.734
1241,103994,103.994
1242,126803,126.803
1243,131599,131.599
1244,135413,135.413
1245,117724,117.724
1246,147444,147.444
1247,112223,112.223
1248,162461,162.461
1249,141233,141.233
1250,135537,135.537
1251,147434,147.434
1252,140972,140.972
1253,214930,214.93
1254,104097,104.097
1255,120978,120.978
1256,102676,102.676
1257,115903,115.903
1258,126442,126.442
1259,139763,139.763
1260,91353,91.353
1261,104660,104.66
1262,99445,99.445
1263,174512,174.512
1264,100301,100.301
1265,116217,116.217
1266,110476,110.476
1267,130637,130.637
1268,101040,101.04
1269,98610,98.61
1270,95731,95.731
1271,99251,99.251
1272,98149,98.149
1273,102564,102.564
1274,95817,95.817
1275,127535,127.535
1276,78680,78.68
1277,85473,85.473
1278,166199,166.199
1279,81537,81.537
1280,82200,82.2
1281,73714,73.714
1282,82490,82.49
1283,128005,128.005
1284,121692,121.692
1285,94629,94.629
1286,102215,102.215
1287,102019,102.019
1288,144984,144.984
1289,75652,75.652
1290,127643,127.643
1291,73049,73.049
1292,102204,102.204
1293,106068,106.068
1294,94884,94.884
1295,123519,123.519
1296,83664,83.664
1297,79880,79.88
1298,99570,99.57
1299,79108,79.108
1300,87103,87.103
1301,64917,64.917
1302,94689,94.689
1303,77442,77.442
1304,81439,81.439
1305,82764,82.764
1306,122670,122.67
1307,351805,351.805
1308,282955,282.955
1309,316751,316.751
1310,123317,123.317
1311,195090,195.09
1312,143488,143.488
1313,196625,196.625
1314,116610,116.61
1315,152052,152.052
1316,213690,213.69
1317,146136,146.136
1318,234650,234.65
1319,113737,113.737
1320,136390,136.39
1321,622835,622.835
1322,136343,136.343
1323,145010,145.01
1324,122102,122.102
1325,134535,134.535
1326,272669,272.669
1327,152079,152.079
1328,328248,328.248
1329,125445,125.445
1330,138688,138.688
1331,189705,189.705
1332,151534,151.534
1333,280073,280.073
1334,169963,169.963
1335,136779,136.779
1336,304605,304.605
1337,146281,146.281
1338,372438,372.438
1339,159767,159.767
1340,124927,124.927
1341,338188,338.188
1342,124034,124.034
1343,182366,182.366
1344,104092,104.092
1345,135354,135.354
1346,496291,496.291
1347,145513,145.513
1348,273110,273.11
1349,106851,106.851
1350,137783,137.783
1351,110184,110.184
1352,133660,133.66
1353,210550,210.55
1354,238223,238.223
1355,184255,184.255
1356,103840,103.84
1357,123441,123.441
1358,162913,162.913
1359,140434,140.434
1360,125166,125.166
1361,168341,168.341
1362,123292,123.292
1363,256054,256.054
1364,135985,135.985
1365,142936,142.936
1366,220947,220.947
1367,124832,124.832
1368,141704,141.704
1369,121562,121.562
1370,124862,124.862
1371,65143,65.143
1372,79270,79.27
1373,88107,88.107
1374,95176,95.176
1375,74720,74.72
1376,75177,75.177
1377,100290,100.29
1378,140802,140.802
1379,90926,90.926
1380,95664,95.664
1381,69781,69.781
1382,81627,81.627
1383,103021,103.021
1384,63823,63.823
1385,202102,202.102
1386,141967,141.967
1387,92508,92.508
1388,93944,93.944
1389,77466,77.466
1390,76752,76.752
1391,75652,75.652
1392,86050,86.05
1393,174074,174.074
1394,84965,84.965
1395,85873,85.873
1396,82809,82.809
1397,80461,80.461
1398,105096,105.096
1399,76680,76.68
1400,80390,80.39
1401,85383,85.383
1402,100217,100.217
1403,86476,86.476
1404,131638,131.638
1405,99226,99.226
1406,147899,147.899
1407,370297,370.297
1408,123484,123.484
1409,317956,317.956
1410,153095,153.095
1411,83512,83.512
1412,133354,133.354
1413,141181,141.181
1414,69476,69.476
1415,71278,71.278
1416,57451,57.451
1417,83788,83.788
1418,71226,71.226
1419,65665,65.665
1420,58544,58.544
1421,52027,52.027
1422,65568,65.568
1423,63565,63.565
1424,70272,70.272
1425,79918,79.918
1426,74334,74.334
